t,p1,p2,p3,p4,p5,p6,v1,v2,v3,v4,v5,v6,pc1,pc2,pc3,pc4,pc5,pc6,vc1,vc2,vc3,vc4,vc5,vc6,j1,j2,j3,j4,j5,j6,t1,t2,t3,t4,t5,t6,Fx,Fy,Fz,Mx,My,Mz
0.014,0.397163,-0.000262412,0.20973,3.14035,-0.285552,-0.000417557,-0.0107934,-0.00545962,-0.0278818,-0.0306059,-0.126495,-0.0118915,0.397547,-0.000143827,0.210028,3.12633,-0.296239,-0.000174759,0,0,0,0,0,0,8.53029e-05,0.803704,1.05154,3.1403,-1.5719,3.04975e-05,1.35534,-6.62302,-4.00859,-0.788263,-1.79316,0.0448166,0,0,0,0,0,0
0.015,0.39713,-0.000272861,0.209656,3.14027,-0.285892,-0.000454419,-0.0121716,-0.00577307,-0.030753,-0.0334891,-0.139914,-0.0134604,0.397557,-0.000143779,0.210007,3.12528,-0.297192,-0.000174701,0,0,0,0,0,0,0.000104399,0.803971,1.05144,3.14023,-1.57207,3.51355e-05,1.42319,-7.45767,-4.35692,-0.816913,-1.87523,0.0478892,0,0,0,0,0,0
0.016,0.397094,-0.000283008,0.209581,3.14019,-0.286248,-0.000494269,-0.0136506,-0.00604791,-0.0335524,-0.0363708,-0.153467,-0.0151185,0.397568,-0.000143731,0.209987,3.12424,-0.298145,-0.000174642,0,0,0,0,0,0,0.000125934,0.804242,1.05134,3.14014,-1.57226,4.00857e-05,1.48573,-8.23425,-4.74327,-0.8453,-1.95322,0.050935,0,0,0,0,0,0
0.017,0.397056,-0.000292815,0.209505,3.14011,-0.286616,-0.000537181,-0.015183,-0.00628412,-0.0362425,-0.0392491,-0.166959,-0.0168648,0.397579,-0.000143682,0.209967,3.12319,-0.299098,-0.000174584,0,0,0,0,0,0,0.000149987,0.804517,1.05124,3.14006,-1.57245,4.53445e-05,1.54296,-8.95159,-5.1529,-0.873489,-2.02599,0.0539544,0,0,0,0,0,0
0.018,0.397017,-0.00030225,0.209428,3.14002,-0.286993,-0.000583217,-0.0167155,-0.00648209,-0.0387896,-0.0421229,-0.180181,-0.0186977,0.39759,-0.000143634,0.209947,3.12214,-0.300051,-0.000174525,0,0,0,0,0,0,0.000176628,0.804794,1.05114,3.13997,-1.57265,5.09086e-05,1.59496,-9.61162,-5.56907,-0.901525,-2.09271,0.0569481,0,0,0,0,0,0
0.019,0.396976,-0.000311286,0.209351,3.13994,-0.287376,-0.000632429,-0.0181944,-0.00664257,-0.0411642,-0.0449911,-0.192931,-0.020615,0.397601,-0.000143586,0.209927,3.1211,-0.301004,-0.000174467,0,0,0,0,0,0,0.000205912,0.805075,1.05104,3.13988,-1.57286,5.67745e-05,1.64181,-10.2179,-5.97507,-0.929439,-2.15291,0.0599168,0,0,0,0,0,0
0.02,0.396936,-0.000319903,0.209275,3.13985,-0.287762,-0.000684855,-0.0195715,-0.00676658,-0.0433423,-0.0478532,-0.205025,-0.0226137,0.397612,-0.000143538,0.209907,3.12005,-0.301957,-0.000174408,0,0,0,0,0,0,0.000237882,0.805358,1.05092,3.13979,-1.57307,6.29391e-05,1.68366,-10.774,-6.356,-0.957254,-2.20656,0.0628613,0,0,0,0,0,0
0.021,0.396897,-0.000328083,0.209201,3.13975,-0.288146,-0.000740525,-0.020807,-0.00685543,-0.0453057,-0.0507089,-0.216313,-0.0246907,0.397623,-0.00014349,0.209887,3.119,-0.30291,-0.00017435,0,0,0,0,0,0,0.000272574,0.805644,1.0508,3.1397,-1.57329,6.93994e-05,1.72065,-11.2831,-6.70009,-0.984984,-2.25394,0.0657824,0,0,0,0,0,0
0.022,0.396859,-0.000335817,0.209128,3.13966,-0.288528,-0.000799456,-0.0218729,-0.00691059,-0.0470419,-0.0535579,-0.22668,-0.0268421,0.397633,-0.000143442,0.209867,3.11796,-0.303862,-0.000174291,0,0,0,0,0,0,0.000310008,0.805931,1.05067,3.1396,-1.57352,7.61523e-05,1.75298,-11.7466,-6.99945,-1.01264,-2.29568,0.0686814,0,0,0,0,0,0
0.023,0.396823,-0.000343096,0.209057,3.13956,-0.288904,-0.000861656,-0.0227534,-0.00693373,-0.048544,-0.0564001,-0.236055,-0.0290637,0.397644,-0.000143393,0.209847,3.11691,-0.304815,-0.000174232,0,0,0,0,0,0,0.000350197,0.80622,1.05053,3.1395,-1.57375,8.31951e-05,1.78086,-12.1644,-7.25032,-1.04022,-2.33259,0.0715592,0,0,0,0,0,0
0.024,0.39679,-0.000349917,0.208988,3.13946,-0.289273,-0.000927126,-0.0234443,-0.00692667,-0.04981,-0.0592354,-0.24441,-0.0313512,0.397655,-0.000143345,0.209827,3.11586,-0.305768,-0.000174174,0,0,0,0,0,0,0.000393145,0.806509,1.05038,3.13939,-1.57398,9.05252e-05,1.8045,-12.5345,-7.45276,-1.06774,-2.36561,0.074417,0,0,0,0,0,0
0.025,0.396758,-0.000356281,0.208922,3.13935,-0.289634,-0.000995856,-0.0239518,-0.0068913,-0.0508422,-0.0620637,-0.25175,-0.0336998,0.397666,-0.000143297,0.209806,3.11481,-0.306721,-0.000174115,0,0,0,0,0,0,0.000438844,0.806799,1.05021,3.13929,-1.57421,9.81401e-05,1.82417,-12.8539,-7.61001,-1.09518,-2.3957,0.0772561,0,0,0,0,0,0
0.026,0.396729,-0.000362191,0.208858,3.13925,-0.289987,-0.00106783,-0.0242896,-0.00682965,-0.0516465,-0.0648849,-0.258111,-0.0361046,0.397677,-0.000143249,0.209786,3.11377,-0.307674,-0.000174057,0,0,0,0,0,0,0.000487282,0.807087,1.05004,3.13918,-1.57445,0.000106038,1.84011,-13.119,-7.72764,-1.12255,-2.42373,0.0800775,0,0,0,0,0,0
0.027,0.396701,-0.000367653,0.208797,3.13914,-0.290332,-0.00114302,-0.0244766,-0.00674375,-0.0522314,-0.0676991,-0.263549,-0.0385606,0.397688,-0.000143201,0.209766,3.11272,-0.308627,-0.000173998,0,0,0,0,0,0,0.000538437,0.807375,1.04986,3.13907,-1.57469,0.000114215,1.85258,-13.326,-7.81248,-1.14984,-2.45049,0.0828827,0,0,0,0,0,0
0.028,0.396676,-0.000372677,0.208739,3.13902,-0.290668,-0.0012214,-0.0245335,-0.00663571,-0.0526074,-0.070506,-0.268136,-0.0410626,0.397699,-0.000143152,0.209746,3.11167,-0.30958,-0.00017394,0,0,0,0,0,0,0.000592281,0.80766,1.04966,3.13895,-1.57494,0.000122672,1.86187,-13.4718,-7.87171,-1.17705,-2.47656,0.0856728,0,0,0,0,0,0
0.029,0.396652,-0.000377275,0.208684,3.13891,-0.290997,-0.00130294,-0.0244812,-0.00650764,-0.0527866,-0.0733055,-0.271947,-0.0436055,0.39771,-0.000143104,0.209726,3.11063,-0.310533,-0.000173881,0,0,0,0,0,0,0.00064878,0.807942,1.04947,3.13883,-1.57519,0.000131404,1.86823,-13.5545,-7.91204,-1.20417,-2.50239,0.088449,0,0,0,0,0,0
0.03,0.39663,-0.000381459,0.208631,3.13879,-0.291318,-0.00138758,-0.0243381,-0.00636163,-0.0527819,-0.0760977,-0.275058,-0.046184,0.39772,-0.000143056,0.209706,3.10958,-0.311486,-0.000173823,0,0,0,0,0,0,0.000707893,0.808221,1.04926,3.13871,-1.57543,0.000140412,1.87196,-13.5738,-7.93905,-1.23119,-2.52826,0.0912125,0,0,0,0,0,0
