t,j1,j2,j3,j4,j5,j6,jc1,jc2,jc3,jc4,jc5,jc6,t1,t2,t3,t4,t5,t6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,1.53775e-06,-6.07944e-06,0,2.1286e-06,0,0,0.00015708,0.00020944,0.000628319,-0.000314159,0,0,0.0622165,0.0862086,0.251328,-0.126516,0
0.002,-2.36309e-06,4.88936e-06,-1.99777e-05,1.81614e-05,-8.34485e-06,-1.25338e-06,0,0.000314159,0.000418879,0.00125664,-0.000628319,0,0.000945607,0.123707,0.175549,0.495392,-0.24799,0.00050136
0.003,-7.0954e-06,8.97832e-06,-3.84185e-05,6.01904e-05,-3.14947e-05,-2.57101e-06,0,0.000471239,0.000628319,0.00188496,-0.000942478,0,0.0028398,0.184901,0.266712,0.729906,-0.364391,0.00102843
0.004,-1.34201e-05,1.30003e-05,-5.88839e-05,0.000125618,-6.67149e-05,-3.84426e-06,0,0.000628319,0.000837758,0.00251327,-0.00125664,0,0.00537211,0.246122,0.358693,0.955057,-0.475961,0.00153776
0.005,-2.07147e-05,1.63628e-05,-7.94335e-05,0.000213614,-0.000113442,-5.05084e-06,0,0.000785398,0.0010472,0.00314159,-0.0015708,0,0.00829354,0.307609,0.450713,1.17117,-0.582923,0.00202043
0.006,-2.8518e-05,1.86405e-05,-9.85844e-05,0.000323335,-0.000171153,-6.18226e-06,0,0.000942478,0.00125664,0.00376991,-0.00188496,0,0.0114195,0.369532,0.542179,1.37859,-0.685485,0.00247307
0.007,-3.64937e-05,1.95406e-05,-0.000115215,0.000453957,-0.000239356,-7.23498e-06,0,0.00109956,0.00146608,0.00439823,-0.00219911,0,0.0146154,0.432011,0.632642,1.57765,-0.783844,0.00289424
0.008,-4.43999e-05,1.88739e-05,-0.000128491,0.000604672,-0.000317592,-8.20807e-06,0,0.00125664,0.00167552,0.00502655,-0.00251327,0,0.0177842,0.495124,0.721766,1.76865,-0.878183,0.00328358
0.009,-5.20659e-05,1.65331e-05,-0.000137801,0.000774695,-0.000405427,-9.10222e-06,0,0.00141372,0.00188496,0.00565487,-0.00282743,0,0.0208574,0.558913,0.809305,1.95193,-0.968676,0.00364136
0.01,-5.93742e-05,1.24748e-05,-0.00014271,0.000963267,-0.00050245,-9.91919e-06,0,0.0015708,0.0020944,0.00628319,-0.00314159,0,0.0237879,0.623399,0.895085,2.12778,-1.05549,0.00396831
0.011,-6.62475e-05,6.70494e-06,-0.000142922,0.00116965,-0.000608273,-1.06615e-05,0,0.00172788,0.00230383,0.0069115,-0.00345575,0,0.0265446,0.68858,0.978985,2.29649,-1.13877,0.0042654
0.012,-7.26384e-05,-7.31927e-07,-0.00013825,0.00139314,-0.000722528,-1.13321e-05,0,0.00188496,0.00251327,0.00753982,-0.00376991,0,0.0291083,0.754439,1.06093,2.45836,-1.21867,0.00453385
0.013,-7.85212e-05,-9.76193e-06,-0.000128588,0.00163304,-0.000844865,-1.19343e-05,0,0.00204204,0.00272271,0.00816814,-0.00408407,0,0.0314686,0.820947,1.14087,2.61365,-1.29534,0.00477496
0.014,-8.38864e-05,-2.02889e-05,-0.000113896,0.0018887,-0.000974949,-1.24716e-05,0,0.00219911,0.00293215,0.00879646,-0.00439823,0,0.0336216,0.888066,1.21881,2.76263,-1.3689,0.00499012
0.015,-8.87365e-05,-3.21999e-05,-9.41808e-05,0.00215948,-0.00111246,-1.29474e-05,0,0.00235619,0.00314159,0.00942478,-0.00471239,0,0.0355682,0.955753,1.29472,2.90557,-1.43948,0.00518074
0.016,-9.30818e-05,-4.53701e-05,-6.94888e-05,0.00244477,-0.0012571,-1.33654e-05,0,0.00251327,0.00335103,0.0100531,-0.00502655,0,0.0373124,1.02396,1.36865,3.04269,-1.50721,0.00534823
0.017,-9.6939e-05,-5.96657e-05,-3.98924e-05,0.00274398,-0.00140857,-1.3729e-05,0,0.00267035,0.00356047,0.0106814,-0.00534071,0,0.0388609,1.09262,1.4406,3.17424,-1.5722,0.00549399
0.018,-0.000100328,-7.49472e-05,-5.48426e-06,0.00305656,-0.0015666,-1.40416e-05,0,0.00282743,0.00376991,0.0113097,-0.00565487,0,0.0402217,1.1617,1.51063,3.30044,-1.63457,0.0056194
0.019,-0.000103273,-9.10715e-05,3.3629e-05,0.00338195,-0.00173092,-1.43065e-05,0,0.00298451,0.00397935,0.0119381,-0.00596903,0,0.0414039,1.23112,1.57877,3.42152,-1.69442,0.00572576
0.02,-0.000105796,-0.000107893,7.73311e-05,0.00371964,-0.00190128,-1.4527e-05,0,0.00314159,0.00418879,0.0125664,-0.00628319,0,0.0424173,1.30084,1.64508,3.53768,-1.75185,0.00581435
0.021,-0.000107924,-0.000125267,0.0001255,0.00406914,-0.00207743,-1.4706e-05,0,0.00329867,0.00439823,0.0131947,-0.00659734,0,0.0432718,1.37078,1.70959,3.64912,-1.80696,0.0058864
0.022,-0.000109681,-0.000143048,0.00017801,0.00442995,-0.00225914,-1.48465e-05,0,0.00345575,0.00460767,0.013823,-0.0069115,0,0.0439775,1.44091,1.77236,3.75603,-1.85985,0.00594306
0.023,-0.000111092,-0.000161091,0.000234736,0.00480163,-0.00244618,-1.49513e-05,0,0.00361283,0.00481711,0.0144513,-0.00722566,0,0.0445444,1.51115,1.83344,3.85861,-1.9106,0.00598545
0.024,-0.000112182,-0.000179256,0.000295552,0.00518372,-0.00263834,-1.5023e-05,0,0.00376991,0.00502655,0.0150796,-0.00753982,0,0.044982,1.58144,1.89289,3.95702,-1.95931,0.00601461
0.025,-0.000112973,-0.000197401,0.000360333,0.00557582,-0.00283542,-1.5064e-05,0,0.00392699,0.00523599,0.015708,-0.00785398,0,0.0452999,1.65174,1.95074,4.05144,-2.00606,0.00603155
0.026,-0.000113489,-0.000215391,0.00042896,0.0059775,-0.00303722,-1.50768e-05,0,0.00408407,0.00544543,0.0163363,-0.00816814,0,0.0455069,1.72199,2.00706,4.14203,-2.05091,0.00603719
0.027,-0.00011375,-0.000233092,0.000501314,0.00638839,-0.00324355,-1.50635e-05,0,0.00424115,0.00565487,0.0169646,-0.0084823,0,0.0456118,1.79213,2.06189,4.22895,-2.09397,0.00603244
0.028,-0.000113778,-0.000250373,0.000577281,0.00680811,-0.00345422,-1.50262e-05,0,0.00439823,0.00586431,0.0175929,-0.00879646,0,0.0456228,1.86211,2.11527,4.31235,-2.13528,0.00601812
0.029,-0.00011359,-0.000267107,0.000656754,0.00723631,-0.00366906,-1.4967e-05,0,0.00455531,0.00607375,0.0182212,-0.00911062,0,0.0455475,1.93188,2.16725,4.39237,-2.17494,0.00599502
0.03,-0.000113206,-0.00028317,0.000739626,0.00767263,-0.00388791,-1.48876e-05,0,0.00471239,0.00628319,0.0188496,-0.00942478,0,0.0453933,2.00138,2.21787,4.46915,-2.21299,0.00596388
0.031,-0.000112643,-0.000298442,0.000825797,0.00811675,-0.00411061,-1.47899e-05,0,0.00486947,0.00649262,0.0194779,-0.00973894,0,0.0451672,2.07058,2.26717,4.54283,-2.24951,0.0059254
0.032,-0.000111917,-0.000312806,0.00091517,0.00856835,-0.004337,-1.46754e-05,0,0.00502655,0.00670206,0.0201062,-0.0100531,0,0.0448756,2.13941,2.31519,4.61352,-2.28457,0.00588023
0.033,-0.000111043,-0.000326149,0.00100766,0.00902714,-0.00456693,-1.45456e-05,0,0.00518363,0.0069115,0.0207345,-0.0103673,0,0.0445247,2.20785,2.36198,4.68136,-2.31821,0.00582899
0.034,-0.000110036,-0.000338362,0.00110316,0.00949282,-0.00480026,-1.44021e-05,0,0.00534071,0.00712094,0.0213628,-0.0106814,0,0.0441201,2.27583,2.40755,4.74646,-2.3505,0.00577224
0.035,-0.000108907,-0.000349338,0.00120161,0.0099651,-0.00503686,-1.42461e-05,0,0.00549779,0.00733038,0.0219911,-0.0109956,0,0.0436672,2.34332,2.45196,4.80893,-2.38149,0.00571052
0.036,-0.000107671,-0.000358975,0.00130293,0.0104437,-0.00527659,-1.40789e-05,0,0.00565487,0.00753982,0.0226195,-0.0113097,0,0.0431709,2.41027,2.49522,4.86888,-2.41124,0.00564434
0.037,-0.000106338,-0.000367173,0.00140703,0.0109285,-0.00551933,-1.39018e-05,0,0.00581195,0.00774926,0.0232478,-0.0116239,0,0.042636,2.47665,2.53737,4.92641,-2.43979,0.00557416
0.038,-0.00010492,-0.000373837,0.00151384,0.011419,-0.00576496,-1.37157e-05,0,0.00596903,0.0079587,0.0238761,-0.0119381,0,0.0420668,2.54242,2.57845,4.98163,-2.4672,0.00550042
0.039,-0.000103426,-0.000378874,0.00162331,0.0119152,-0.00601337,-1.35217e-05,0,0.00612611,0.00816814,0.0245044,-0.0122522,0,0.0414673,2.60754,2.61847,5.03462,-2.4935,0.00542353
0.04,-0.000101865,-0.000382194,0.00173536,0.0124168,-0.00626444,-1.33208e-05,0,0.00628319,0.00837758,0.0251327,-0.0125664,0,0.0408413,2.67197,2.65746,5.08548,-2.51875,0.00534388
0.041,-0.000100247,-0.000383713,0.00184994,0.0129235,-0.00651807,-1.31139e-05,0,0.00644026,0.00858702,0.0257611,-0.0128805,0,0.0401922,2.73567,2.69545,5.13429,-2.54299,0.00526182
0.042,-9.85786e-05,-0.000383346,0.00196699,0.0134351,-0.00677415,-1.29017e-05,0,0.00659734,0.00879646,0.0263894,-0.0131947,0,0.0395233,2.79862,2.73246,5.18115,-2.56626,0.00517767
0.043,-9.68682e-05,-0.000381014,0.00208645,0.0139516,-0.00703258,-1.26851e-05,0,0.00675442,0.0090059,0.0270177,-0.0135088,0,0.0388376,2.86078,2.76851,5.22612,-2.58859,0.00509175
0.044,-9.51224e-05,-0.000376641,0.00220827,0.0144726,-0.00729329,-1.24648e-05,0,0.0069115,0.00921534,0.027646,-0.013823,0,0.0381378,2.92213,2.80362,5.26928,-2.61003,0.00500435
0.045,-9.33476e-05,-0.000370153,0.0023324,0.014998,-0.00755616,-1.22415e-05,0,0.00706858,0.00942478,0.0282743,-0.0141372,0,0.0374265,2.98262,2.83782,5.31072,-2.63062,0.00491572
0.046,-9.15495e-05,-0.00036148,0.00245881,0.0155275,-0.00782112,-1.20156e-05,0,0.00722566,0.00963422,0.0289027,-0.0144513,0,0.0367061,3.04223,2.87112,5.35049,-2.65038,0.00482612
0.047,-8.97337e-05,-0.000350552,0.00258744,0.0160612,-0.00808808,-1.1788e-05,0,0.00738274,0.00984366,0.029531,-0.0147655,0,0.0359787,3.10094,2.90354,5.38868,-2.66935,0.00473577
0.048,-8.7905e-05,-0.000337307,0.00271825,0.0165987,-0.00835697,-1.1559e-05,0,0.00753982,0.0100531,0.0301593,-0.0150796,0,0.0352463,3.15872,2.93509,5.42533,-2.68756,0.00464488
0.049,-8.60681e-05,-0.000321681,0.0028512,0.0171399,-0.0086277,-1.13291e-05,0,0.0076969,0.0102625,0.0307876,-0.0153938,0,0.0345108,3.21554,2.9658,5.46052,-2.70505,0.00455365
0.05,-8.42271e-05,-0.000303615,0.00298626,0.0176847,-0.0089002,-1.10988e-05,0,0.00785398,0.010472,0.0314159,-0.015708,0,0.0337739,3.27137,2.99568,5.49431,-2.72185,0.00446225
0.051,-8.23858e-05,-0.000283052,0.00312339,0.0182329,-0.0091744,-1.08686e-05,0,0.00801106,0.0106814,0.0320442,-0.0160221,0,0.0330371,3.32621,3.02473,5.52674,-2.73797,0.00437086
0.052,-8.05479e-05,-0.000259939,0.00326256,0.0187844,-0.00945024,-1.06387e-05,0,0.00816814,0.0108909,0.0326726,-0.0163363,0,0.0323018,3.38002,3.05299,5.55789,-2.75345,0.00427961
0.053,-7.87164e-05,-0.000234224,0.00340373,0.0193391,-0.00972765,-1.04096e-05,0,0.00832522,0.0111003,0.0333009,-0.0166504,0,0.0315692,3.43278,3.08045,5.58779,-2.76832,0.00418866
0.054,-7.68943e-05,-0.000205859,0.00354688,0.0198968,-0.0100066,-1.01815e-05,0,0.0084823,0.0113097,0.0339292,-0.0169646,0,0.0308406,3.48447,3.10713,5.6165,-2.7826,0.00409813
0.055,-7.50842e-05,-0.000174797,0.00369197,0.0204575,-0.0102869,-9.95481e-06,0,0.00863938,0.0115192,0.0345575,-0.0172788,0,0.0301171,3.53508,3.13304,5.64407,-2.79631,0.00400814
0.056,-7.32885e-05,-0.000140994,0.00383898,0.0210209,-0.0105687,-9.72973e-06,0,0.00879646,0.0117286,0.0351858,-0.0175929,0,0.0293995,3.58459,3.1582,5.67054,-2.80948,0.00391879
0.057,-7.15094e-05,-0.000104409,0.00398788,0.021587,-0.0108518,-9.50651e-06,0,0.00895354,0.0119381,0.0358142,-0.0179071,0,0.0286887,3.63297,3.18261,5.69597,-2.82213,0.00383017
0.058,-6.97488e-05,-6.50032e-05,0.00413864,0.0221557,-0.0111361,-9.28538e-06,0,0.00911062,0.0121475,0.0364425,-0.0182212,0,0.0279855,3.68022,3.20629,5.72038,-2.83428,0.00374239
0.059,-6.80084e-05,-2.274e-05,0.00429125,0.0227269,-0.0114217,-9.06653e-06,0,0.0092677,0.0123569,0.0370708,-0.0185354,0,0.0272906,3.72633,3.22924,5.74383,-2.84596,0.0036555
0.06,-6.62898e-05,2.24148e-05,0.00444567,0.0233004,-0.0117085,-8.85014e-06,0,0.00942478,0.0125664,0.0376991,-0.0188496,0,0.0266046,3.77126,3.25148,5.76634,-2.85717,0.0035696
0.061,-6.45943e-05,7.04933e-05,0.00460188,0.0238763,-0.0119964,-8.63638e-06,0,0.00958186,0.0127758,0.0383274,-0.0191637,0,0.0259281,3.81503,3.273,5.78797,-2.86794,0.00348473
0.062,-6.29232e-05,0.000121525,0.00475987,0.0244543,-0.0122854,-8.42538e-06,0,0.00973894,0.0129852,0.0389557,-0.0194779,0,0.0252615,3.8576,3.29383,5.80874,-2.87829,0.00340096
0.063,-6.12775e-05,0.000175538,0.00491961,0.0250344,-0.0125754,-8.21727e-06,0,0.00989602,0.0131947,0.0395841,-0.019792,0,0.0246052,3.89897,3.31398,5.82869,-2.88823,0.00331833
0.064,-5.96581e-05,0.000232557,0.00508108,0.0256166,-0.0128665,-8.01217e-06,0,0.0100531,0.0134041,0.0402124,-0.0201062,0,0.0239596,3.93914,3.33343,5.84786,-2.89778,0.0032369
0.065,-5.80657e-05,0.000292605,0.00524426,0.0262007,-0.0131585,-7.81017e-06,0,0.0102102,0.0136136,0.0408407,-0.0204204,0,0.0233251,3.97808,3.35222,5.86627,-2.90696,0.0031567
0.066,-5.65012e-05,0.000355704,0.00540913,0.0267867,-0.0134514,-7.61135e-06,0,0.0103673,0.013823,0.041469,-0.0207345,0,0.0227018,4.0158,3.37034,5.88395,-2.91578,0.00307776
0.067,-5.4965e-05,0.000421872,0.00557568,0.0273745,-0.0137452,-7.4158e-06,0,0.0105243,0.0140324,0.0420973,-0.0210487,0,0.02209,4.05229,3.3878,5.90094,-2.92426,0.00300011
0.068,-5.34575e-05,0.000491126,0.00574388,0.0279639,-0.0140399,-7.22356e-06,0,0.0106814,0.0142419,0.0427257,-0.0213628,0,0.0214898,4.08753,3.40461,5.91726,-2.93241,0.00292378
0.069,-5.19792e-05,0.000563483,0.00591372,0.0285551,-0.0143354,-7.03469e-06,0,0.0108385,0.0144513,0.043354,-0.021677,0,0.0209015,4.12153,3.42077,5.93294,-2.94025,0.00284879
0.07,-5.05303e-05,0.000638954,0.00608518,0.0291478,-0.0146317,-6.84923e-06,0,0.0109956,0.0146608,0.0439823,-0.0219911,0,0.020325,4.15427,3.4363,5.948,-2.94778,0.00277515
0.071,-4.9111e-05,0.00071755,0.00625825,0.0297421,-0.0149287,-6.66722e-06,0,0.0111527,0.0148702,0.0446106,-0.0223053,0,0.0197605,4.18576,3.45119,5.96247,-2.95502,0.00270287
0.072,-4.77213e-05,0.000799282,0.0064329,0.0303378,-0.0152264,-6.48867e-06,0,0.0113097,0.0150796,0.0452389,-0.0226195,0,0.019208,4.21599,3.46546,5.97638,-2.96198,0.00263197
0.073,-4.63615e-05,0.000884155,0.00660912,0.030935,-0.0155249,-6.31361e-06,0,0.0114668,0.0152891,0.0458673,-0.0229336,0,0.0186676,4.24496,3.47911,5.98974,-2.96868,0.00256245
0.074,-4.50314e-05,0.000972177,0.00678689,0.0315335,-0.015824,-6.14204e-06,0,0.0116239,0.0154985,0.0464956,-0.0232478,0,0.0181391,4.27266,3.49215,6.00258,-2.97512,0.00249431
0.075,-4.3731e-05,0.00106335,0.0069662,0.0321333,-0.0161238,-5.97396e-06,0,0.011781,0.015708,0.0471239,-0.0235619,0,0.0176226,4.29909,3.50459,6.01492,-2.98131,0.00242756
0.076,-4.24601e-05,0.00115768,0.00714703,0.0327343,-0.0164242,-5.80938e-06,0,0.0119381,0.0159174,0.0477522,-0.0238761,0,0.017118,4.32426,3.51643,6.02678,-2.98727,0.0023622
0.077,-4.12187e-05,0.00125516,0.00732937,0.0333366,-0.0167251,-5.64827e-06,0,0.0120951,0.0161268,0.0483805,-0.0241903,0,0.0166253,4.34817,3.52767,6.03818,-2.993,0.00229821
0.078,-4.00064e-05,0.00135579,0.0075132,0.03394,-0.0170267,-5.49064e-06,0,0.0122522,0.0163363,0.0490088,-0.0245044,0,0.0161443,4.3708,3.53832,6.04913,-2.99851,0.0022356
0.079,-3.88231e-05,0.00145957,0.00769851,0.0345445,-0.0173288,-5.33645e-06,0,0.0124093,0.0165457,0.0496372,-0.0248186,0,0.0156749,4.39217,3.5484,6.05966,-3.00382,0.00217435
0.08,-3.76685e-05,0.0015665,0.00788527,0.0351501,-0.0176314,-5.18568e-06,0,0.0125664,0.0167552,0.0502655,-0.0251327,0,0.0152171,4.41229,3.5579,6.06977,-3.00893,0.00211446
0.081,-3.65422e-05,0.00167657,0.00807348,0.0357567,-0.0179345,-5.03832e-06,0,0.0127235,0.0169646,0.0508938,-0.0254469,0,0.0147707,4.43114,3.56683,6.0795,-3.01384,0.00205592
0.082,-3.5444e-05,0.00178976,0.00826312,0.0363643,-0.0182381,-4.89432e-06,0,0.0128805,0.017174,0.0515221,-0.0257611,0,0.0143355,4.44873,3.5752,6.08884,-3.01857,0.00199871
0.083,-3.43735e-05,0.00190608,0.00845417,0.0369729,-0.0185421,-4.75366e-06,0,0.0130376,0.0173835,0.0521504,-0.0260752,0,0.0139115,4.46508,3.58301,6.09783,-3.02313,0.00194283
0.084,-3.33303e-05,0.00202551,0.00864661,0.0375823,-0.0188466,-4.6163e-06,0,0.0131947,0.0175929,0.0527788,-0.0263894,0,0.0134984,4.48017,3.59028,6.10647,-3.02752,0.00188825
0.085,-3.23139e-05,0.00214803,0.00884044,0.0381927,-0.0191516,-4.4822e-06,0,0.0133518,0.0178024,0.0534071,-0.0267035,0,0.013096,4.49403,3.59699,6.11477,-3.03174,0.00183496
0.086,-3.1324e-05,0.00227364,0.00903564,0.0388039,-0.0194569,-4.35131e-06,0,0.0135088,0.0180118,0.0540354,-0.0270177,0,0.0127043,4.50665,3.60317,6.12275,-3.03581,0.00178295
0.087,-3.03602e-05,0.00240232,0.00923219,0.0394158,-0.0197626,-4.2236e-06,0,0.0136659,0.0182212,0.0546637,-0.0273319,0,0.012323,4.51804,3.60882,6.13043,-3.03974,0.00173219
0.088,-2.94219e-05,0.00253405,0.00943007,0.0400286,-0.0200687,-4.09903e-06,0,0.013823,0.0184307,0.055292,-0.027646,0,0.011952,4.5282,3.61394,6.13781,-3.04352,0.00168267
0.089,-2.85089e-05,0.00266882,0.00962928,0.0406421,-0.0203752,-3.97753e-06,0,0.0139801,0.0186401,0.0559203,-0.0279602,0,0.011591,4.53715,3.61854,6.1449,-3.04716,0.00163438
0.09,-2.76205e-05,0.00280659,0.00982978,0.0412564,-0.020682,-3.85907e-06,0,0.0141372,0.0188496,0.0565487,-0.0282743,0,0.0112398,4.5449,3.62262,6.15172,-3.05067,0.00158729
0.091,-2.67563e-05,0.00294737,0.0100316,0.0418713,-0.0209892,-3.7436e-06,0,0.0142942,0.019059,0.057177,-0.0285885,0,0.0108984,4.55144,3.6262,6.15828,-3.05405,0.00154138
0.092,-2.59158e-05,0.00309111,0.0102346,0.0424869,-0.0212967,-3.63107e-06,0,0.0144513,0.0192684,0.0578053,-0.0289027,0,0.0105664,4.5568,3.62928,6.16459,-3.05732,0.00149663
0.093,-2.50986e-05,0.00323781,0.010439,0.0431031,-0.0216045,-3.52142e-06,0,0.0146084,0.0194779,0.0584336,-0.0292168,0,0.0102437,4.56097,3.63186,6.17065,-3.06047,0.00145302
0.094,-2.43042e-05,0.00338743,0.0106445,0.04372,-0.0219126,-3.41461e-06,0,0.0147655,0.0196873,0.0590619,-0.029531,0,0.00993006,4.56398,3.63395,6.17649,-3.06351,0.00141054
0.095,-2.35321e-05,0.00353995,0.0108513,0.0443374,-0.0222209,-3.31058e-06,0,0.0149226,0.0198968,0.0596903,-0.0298451,0,0.00962532,4.56583,3.63556,6.18209,-3.06644,0.00136916
0.096,-2.27819e-05,0.00369534,0.0110593,0.0449554,-0.0225296,-3.20928e-06,0,0.0150796,0.0201062,0.0603186,-0.0301593,0,0.00932927,4.56652,3.63669,6.18749,-3.06927,0.00132885
0.097,-2.20529e-05,0.00385358,0.0112685,0.0455739,-0.0228385,-3.11066e-06,0,0.0152367,0.0203156,0.0609469,-0.0304734,0,0.00904172,4.56608,3.63736,6.19268,-3.072,0.00128961
0.098,-2.13448e-05,0.00401464,0.0114789,0.046193,-0.0231476,-3.01466e-06,0,0.0153938,0.0205251,0.0615752,-0.0307876,0,0.00876245,4.56452,3.63755,6.19767,-3.07464,0.00125141
0.099,-2.06571e-05,0.00417848,0.0116904,0.0468126,-0.023457,-2.92123e-06,0,0.0155509,0.0207345,0.0622035,-0.0311018,0,0.00849129,4.56184,3.6373,6.20247,-3.07718,0.00121422
0.1,-1.99893e-05,0.00434508,0.011903,0.0474327,-0.0237667,-2.83033e-06,0,0.015708,0.020944,0.0628319,-0.0314159,0,0.00822803,4.55806,3.63659,6.20708,-3.07965,0.00117803
0.101,-1.93409e-05,0.00451441,0.0121168,0.0480532,-0.0240765,-2.74188e-06,0,0.015865,0.0211534,0.0634602,-0.0317301,0,0.00797249,4.55319,3.63544,6.21152,-3.08202,0.00114281
0.102,-1.87114e-05,0.00468642,0.0123317,0.0486742,-0.0243866,-2.65586e-06,0,0.0160221,0.0213628,0.0640885,-0.0320442,0,0.00772446,4.54725,3.63385,6.2158,-3.08432,0.00110855
0.103,-1.81005e-05,0.0048611,0.0125477,0.0492956,-0.0246969,-2.57219e-06,0,0.0161792,0.0215723,0.0647168,-0.0323584,0,0.00748377,4.54025,3.63184,6.2199,-3.08655,0.00107522
0.104,-1.75076e-05,0.0050384,0.0127647,0.0499174,-0.0250073,-2.49083e-06,0,0.0163363,0.0217817,0.0653451,-0.0326726,0,0.00725023,4.5322,3.6294,6.22386,-3.0887,0.00104281
0.105,-1.69322e-05,0.00521828,0.0129828,0.0505397,-0.025318,-2.41173e-06,0,0.0164934,0.0219911,0.0659734,-0.0329867,0,0.00702365,4.52312,3.62654,6.22766,-3.09078,0.00101129
0.106,-1.6374e-05,0.00540072,0.0132019,0.0511623,-0.0256288,-2.33483e-06,0,0.0166504,0.0222006,0.0666018,-0.0333009,0,0.00680386,4.51302,3.62327,6.23132,-3.09279,0.000980636
0.107,-1.58325e-05,0.00558568,0.0134221,0.0517853,-0.0259398,-2.26009e-06,0,0.0168075,0.02241,0.0672301,-0.033615,0,0.00659067,4.50192,3.61961,6.23484,-3.09474,0.000950838
0.108,-1.53073e-05,0.00577311,0.0136433,0.0524086,-0.026251,-2.18746e-06,0,0.0169646,0.0226195,0.0678584,-0.0339292,0,0.00638391,4.48984,3.61554,6.23822,-3.09662,0.000921872
0.109,-1.47979e-05,0.00596298,0.0138654,0.0530323,-0.0265624,-2.11688e-06,0,0.0171217,0.0228289,0.0684867,-0.0342434,0,0.00618341,4.47678,3.61109,6.24148,-3.09845,0.000893717
0.11,-1.43039e-05,0.00615525,0.0140885,0.0536564,-0.0268739,-2.04831e-06,0,0.0172788,0.0230383,0.069115,-0.0345575,0,0.00598899,4.46277,3.60626,6.24461,-3.10022,0.000866356
0.111,-1.38249e-05,0.00634989,0.0143125,0.0542807,-0.0271855,-1.98169e-06,0,0.0174358,0.0232478,0.0697434,-0.0348717,0,0.0058005,4.44782,3.60105,6.24763,-3.10194,0.000839769
0.112,-1.33605e-05,0.00654684,0.0145375,0.0549053,-0.0274973,-1.91699e-06,0,0.0175929,0.0234572,0.0703717,-0.0351858,0,0.00561776,4.43194,3.59548,6.25053,-3.1036,0.000813937
0.113,-1.29103e-05,0.00674607,0.0147634,0.0555303,-0.0278093,-1.85415e-06,0,0.01775,0.0236667,0.071,-0.0355,0,0.00544062,4.41516,3.58954,6.25332,-3.10521,0.00078884
0.114,-1.24739e-05,0.00694754,0.0149902,0.0561555,-0.0281213,-1.79312e-06,0,0.0179071,0.0238761,0.0716283,-0.0358142,0,0.00526892,4.39749,3.58326,6.25601,-3.10677,0.000764462
0.115,-1.20509e-05,0.0071512,0.0152178,0.056781,-0.0284335,-1.73387e-06,0,0.0180642,0.0240855,0.0722566,-0.0361283,0,0.0051025,4.37895,3.57663,6.25859,-3.10829,0.000740784
0.116,-1.1641e-05,0.00735701,0.0154463,0.0574067,-0.0287458,-1.67635e-06,0,0.0182212,0.024295,0.0728849,-0.0364425,0,0.00494122,4.35956,3.56966,6.26108,-3.10977,0.000717788
0.117,-1.12438e-05,0.00756494,0.0156757,0.0580328,-0.0290582,-1.62051e-06,0,0.0183783,0.0245044,0.0735133,-0.0367566,0,0.00478493,4.33933,3.56236,6.26347,-3.1112,0.000695457
0.118,-1.08588e-05,0.00777492,0.0159058,0.058659,-0.0293708,-1.5663e-06,0,0.0185354,0.0247139,0.0741416,-0.0370708,0,0.00463348,4.31828,3.55474,6.26577,-3.11259,0.000673773
0.119,-1.04859e-05,0.00798693,0.0161368,0.0592855,-0.0296834,-1.5137e-06,0,0.0186925,0.0249233,0.0747699,-0.037385,0,0.00448674,4.29643,3.5468,6.26799,-3.11394,0.000652721
0.12,-1.01246e-05,0.00820091,0.0163685,0.0599122,-0.0299962,-1.46265e-06,0,0.0188496,0.0251327,0.0753982,-0.0376991,0,0.00434457,4.2738,3.53856,6.27012,-3.11525,0.000632282
0.121,-9.77461e-06,0.00841682,0.016601,0.0605391,-0.030309,-1.41312e-06,0,0.0190066,0.0253422,0.0760265,-0.0380133,0,0.00420682,4.2504,3.53002,6.27218,-3.11652,0.000612443
0.122,-9.43558e-06,0.00863462,0.0168342,0.0611663,-0.030622,-1.36506e-06,0,0.0191637,0.0255516,0.0766549,-0.0383274,0,0.00407338,4.22625,3.52118,6.27415,-3.11777,0.000593185
0.123,-9.1072e-06,0.00885426,0.0170681,0.0617936,-0.030935,-1.31844e-06,0,0.0193208,0.0257611,0.0772832,-0.0386416,0,0.00394411,4.20138,3.51205,6.27605,-3.11897,0.000574495
0.124,-8.78915e-06,0.00907569,0.0173028,0.0624211,-0.0312481,-1.27322e-06,0,0.0194779,0.0259705,0.0779115,-0.0389557,0,0.00381889,4.1758,3.50265,6.27788,-3.12015,0.000556357
0.125,-8.48114e-06,0.00929886,0.0175381,0.0630488,-0.0315614,-1.22936e-06,0,0.019635,0.0261799,0.0785398,-0.0392699,0,0.0036976,4.14953,3.49298,6.27964,-3.12129,0.000538755
0.126,-8.18287e-06,0.00952374,0.0177741,0.0636767,-0.0318746,-1.18682e-06,0,0.019792,0.0263894,0.0791681,-0.0395841,0,0.00358011,4.12259,3.48305,6.28133,-3.12241,0.000521677
0.127,-7.89404e-06,0.00975027,0.0180107,0.0643048,-0.032188,-1.14557e-06,0,0.0199491,0.0265988,0.0797965,-0.0398982,0,0.00346632,4.095,3.47286,6.28296,-3.12349,0.000505106
